Wall time,Step,Value
1713242387.1893325,54,0.0
1713243495.5170765,50092,0.0
1713244699.1447303,100127,0.0
1713245903.4167507,150171,0.0
1713247082.26066,200195,0.0
1713248257.9782214,250230,0.0
1713249402.7382202,300250,0.0
1713250565.3641841,350289,0.0
1713251721.3172476,400309,0.0
1713252879.710482,450319,0.0
1713254065.1946461,500321,0.0
1713255221.362727,550355,0.0
1713256362.8578136,600377,0.0
1713257515.459904,650406,0.0
1713258686.8278902,700433,0.0
1713259860.0858405,750459,0.0
1713261019.9777856,800481,0.009999999776482582
1713262198.7847245,850503,0.0
1713263347.3556993,900538,0.019999999552965164
1713264519.7583017,950561,0.0
1713265691.0688472,1000597,0.0
1713266820.3817258,1050615,0.0
1713267983.202175,1100660,0.0
1713269139.5497444,1150674,0.009999999776482582
1713270294.663623,1200688,0.0
1713271462.3698363,1250719,0.0
1713272675.8505867,1300742,0.0
1713273902.3385775,1350742,0.0
1713275110.966586,1400759,0.0
1713276342.6950653,1450778,0.009999999776482582
1713277572.7250228,1500779,0.009999999776482582
1713278801.4900541,1550792,0.0
1713280025.318761,1600830,0.009999999776482582
1713281277.193627,1650846,0.019999999552965164
1713282532.3347507,1700886,0.009999999776482582
1713283782.7245255,1750903,0.0
1713285025.2359006,1800911,0.0
1713286280.5796888,1850958,0.029999999329447746
1713287528.6700974,1900980,0.0
1713288782.6274145,1951014,0.019999999552965164
1713290049.455065,2001026,0.0
1713291298.4767237,2051040,0.009999999776482582
1713292549.846826,2101077,0.0
1713293806.5976305,2151091,0.0
1713295069.9969351,2201121,0.009999999776482582
1713296336.8751,2251160,0.009999999776482582
1713297609.7759056,2301197,0.0
1713298882.023935,2351216,0.0
1713300139.4583573,2401243,0.0
1713301409.7148669,2451254,0.0
1713302679.73174,2501272,0.0
1713303940.594069,2551291,0.009999999776482582
1713305207.6863325,2601310,0.009999999776482582
1713306443.7856724,2651354,0.009999999776482582
1713307694.9567378,2701354,0.0
1713308955.8233814,2751375,0.0
1713310211.2221134,2801421,0.009999999776482582
1713311465.3010035,2851448,0.009999999776482582
1713312739.2782605,2901489,0.0
1713314005.213538,2951516,0.0
1713315264.3238,3001531,0.0
