Wall time,Step,Value
1713242286.3849893,50,0.0
1713243429.694628,50068,0.0
1713244586.1423025,100092,0.0
1713245771.295123,150107,0.0
1713246934.8271732,200122,0.0
1713248058.5328295,250150,0.0
1713249209.979152,300167,0.0
1713250379.6582932,350197,0.0
1713251586.3808877,400213,0.0
1713252796.303975,450218,0.0
1713253968.0044153,500234,0.019999999552965164
1713255146.780781,550234,0.0
1713256340.068951,600240,0.0
1713257496.617284,650254,0.0
1713258658.6232576,700293,0.009999999776482582
1713259831.1659992,750318,0.0
1713261031.533643,800334,0.05000000074505806
1713262194.7686942,850356,0.009999999776482582
1713263375.186508,900367,0.019999999552965164
1713264543.552514,950376,0.009999999776482582
1713265692.2055144,1000395,0.009999999776482582
1713266829.7799962,1050430,0.0
1713267980.5746853,1100432,0.019999999552965164
1713269119.985857,1150440,0.0
1713270269.5835454,1200461,0.009999999776482582
1713271422.935482,1250497,0.0
1713272595.2520676,1300510,0.03999999910593033
1713273814.2069511,1350541,0.009999999776482582
1713275012.5066273,1400543,0.0
1713276255.3784244,1450550,0.0
1713277503.2371514,1500580,0.0
1713278750.0221527,1550602,0.0
1713280000.0878649,1600613,0.009999999776482582
1713281233.9347491,1650613,0.0
1713282479.803544,1700645,0.0
1713283725.7289195,1750674,0.0
1713284972.8119402,1800706,0.0
1713286225.4791,1850729,0.0
1713287490.7995305,1900748,0.0
1713288728.1321547,1950751,0.009999999776482582
1713289994.4704857,2000781,0.009999999776482582
1713291271.8390746,2050827,0.0
1713292533.1401458,2100866,0.009999999776482582
1713293803.8087482,2150899,0.009999999776482582
1713295064.8815982,2200933,0.0
1713296322.126621,2250965,0.009999999776482582
1713297599.2958746,2301004,0.029999999329447746
1713298866.4423501,2351017,0.0
1713300122.4574885,2401020,0.03999999910593033
1713301388.9548342,2451050,0.0
1713302658.4364345,2501081,0.029999999329447746
1713303920.1223176,2551091,0.0
1713305190.450232,2601113,0.009999999776482582
1713306469.0612636,2651140,0.05000000074505806
1713307745.047119,2701162,0.03999999910593033
1713309012.4597585,2751204,0.019999999552965164
1713310282.2974727,2801237,0.029999999329447746
1713311551.4352036,2851242,0.019999999552965164
1713312833.6704445,2901283,0.009999999776482582
1713314116.0213,2951284,0.019999999552965164
1713315388.0224943,3001313,0.009999999776482582
