Wall time,Step,Value
1713404141.4402165,57,0.0
1713405245.077649,50104,0.009999999776482582
1713406330.9748025,100135,0.11999999731779099
1713407413.7019155,150184,0.05999999865889549
1713408519.6918988,200202,0.05000000074505806
1713409616.6526856,250203,0.10000000149011612
1713410717.0849705,300235,0.15000000596046448
1713411829.138481,350308,0.18000000715255737
1713412924.5694482,400315,0.28999999165534973
1713414009.351944,450352,0.3700000047683716
1713415108.9882834,500356,0.33000001311302185
1713416194.6094034,550386,0.3799999952316284
1713417268.3965552,600451,0.5400000214576721
1713418336.2857966,650462,0.3799999952316284
1713419421.0122583,700556,0.6600000262260437
1713420467.3947394,750620,0.5199999809265137
1713421505.9921877,800660,0.6399999856948853
1713422432.907514,850717,0.699999988079071
1713423461.077191,900722,0.6299999952316284
1713424497.6375625,950726,0.7099999785423279
1713425445.4512124,1000747,0.7699999809265137
1713426473.188179,1050788,0.7099999785423279
1713427551.772968,1100805,0.7900000214576721
1713428631.4249794,1150865,0.6600000262260437
1713429717.8362703,1200888,0.699999988079071
1713430819.2817383,1250888,0.7300000190734863
1713431919.317125,1300889,0.7300000190734863
1713433040.1651938,1350955,0.7400000095367432
1713434173.282637,1400963,0.8199999928474426
1713435318.7902834,1451017,0.8199999928474426
1713436487.8752239,1501023,0.8399999737739563
1713437676.2872791,1551057,0.8399999737739563
1713438848.6909323,1601067,0.8100000023841858
1713440034.8670244,1651135,0.8199999928474426
1713441226.9721246,1701178,0.7799999713897705
1713442410.3129802,1751185,0.8899999856948853
1713443597.379817,1801186,0.8299999833106995
1713444763.8050137,1851235,0.8500000238418579
1713445934.4074764,1901271,0.8299999833106995
1713447119.6562057,1951330,0.7699999809265137
1713448315.1263595,2001361,0.7900000214576721
1713449497.275277,2051407,0.8700000047683716
1713450670.514365,2101427,0.8700000047683716
1713451847.6333895,2151455,0.8700000047683716
1713453025.778091,2201483,0.8299999833106995
1713454220.6791425,2251494,0.8700000047683716
1713455421.941983,2301554,0.8399999737739563
1713456619.6199806,2351600,0.8399999737739563
1713457822.8253925,2401620,0.8199999928474426
1713459022.7728903,2451639,0.7699999809265137
1713460243.1795232,2501684,0.7300000190734863
1713461433.7321348,2551708,0.7699999809265137
1713462621.6960185,2601757,0.7799999713897705
1713463798.0627785,2651803,0.9100000262260437
1713464974.4943116,2701803,0.8500000238418579
1713466162.690586,2751819,0.8600000143051147
1713467351.8081625,2801833,0.8299999833106995
1713468550.6777048,2851887,0.7799999713897705
1713469740.9190085,2901901,0.8700000047683716
1713470932.2222624,2951908,0.8299999833106995
1713472143.8773603,3001944,0.8600000143051147
