Wall time,Step,Value
1713404249.1916208,50,0.0
1713405396.239649,50056,0.029999999329447746
1713406485.8713367,100086,0.2199999988079071
1713407574.882507,150117,0.009999999776482582
1713408677.048884,200137,0.009999999776482582
1713409759.1148353,250188,0.07000000029802322
1713410852.9745548,300197,0.05000000074505806
1713411900.4868622,350208,0.1599999964237213
1713413009.9294689,400223,0.09000000357627869
1713414156.0314426,450258,0.20000000298023224
1713415290.5812287,500281,0.1599999964237213
1713416425.3086543,550316,0.25
1713417553.6490514,600346,0.20000000298023224
1713418682.6997547,650351,0.3100000023841858
1713419784.0683959,700353,0.44999998807907104
1713420871.2804112,750373,0.44999998807907104
1713421868.5152934,800393,0.3100000023841858
1713422833.8303714,850432,0.6000000238418579
1713423901.8833423,900460,0.6100000143051147
1713424863.972887,950498,0.6499999761581421
1713425798.6986668,1000539,0.75
1713426864.483714,1050573,0.7200000286102295
1713427952.5036077,1100583,0.8199999928474426
1713429035.030649,1150626,0.8399999737739563
1713430130.642682,1200666,0.8299999833106995
1713431241.7784338,1250687,0.8100000023841858
1713432357.4512231,1300731,0.9200000166893005
1713433501.6926563,1350761,0.9300000071525574
1713434656.4527617,1400787,0.8799999952316284
1713435833.8559842,1450789,0.8799999952316284
1713437036.1480863,1500814,0.9399999976158142
1713438238.797686,1550900,0.9200000166893005
1713439449.7127354,1600952,0.9399999976158142
1713440666.211437,1650979,0.9100000262260437
1713441880.0833137,1701000,0.8899999856948853
1713443094.604747,1751020,0.8999999761581421
1713444318.621345,1801069,0.9300000071525574
1713445526.9954944,1851080,0.9200000166893005
1713446734.6177256,1901103,0.9100000262260437
1713447939.9767218,1951113,0.8899999856948853
1713449135.5461612,2001125,0.949999988079071
1713450350.98053,2051137,0.9300000071525574
1713451569.3121605,2101198,0.9599999785423279
1713452765.8764386,2151223,0.9200000166893005
1713453979.86964,2201244,0.949999988079071
1713455204.4996502,2251269,0.949999988079071
1713456442.1381662,2301317,0.949999988079071
1713457679.9473267,2351348,0.9700000286102295
1713458907.1448798,2401390,0.9700000286102295
1713460149.1476681,2451398,0.949999988079071
1713461361.603888,2501413,0.9200000166893005
1713462561.7489572,2551456,0.9200000166893005
1713463766.652032,2601473,0.9399999976158142
1713464972.435867,2651504,0.9800000190734863
1713466201.5404944,2701527,0.9399999976158142
1713467542.8984365,2751569,0.9100000262260437
1713468761.3339965,2801610,0.949999988079071
1713469989.6867955,2851648,0.9700000286102295
1713471208.2204556,2901650,0.9399999976158142
1713472408.9142547,2951706,0.9100000262260437
1713473614.0549939,3001720,0.9300000071525574
