Wall time,Step,Value
1713404171.5264928,33,0.0
1713405415.8073592,50043,0.10999999940395355
1713406598.8976886,100053,0.28999999165534973
1713407774.754791,150053,0.25999999046325684
1713408932.1486764,200062,0.4099999964237213
1713409993.1529353,250066,0.3499999940395355
1713411188.166941,300075,0.4399999976158142
1713412497.779327,350091,0.4099999964237213
1713413794.6997569,400119,0.5400000214576721
1713415008.2764065,450143,0.5299999713897705
1713416212.8253398,500176,0.5699999928474426
1713417406.6604912,550183,0.5799999833106995
1713418594.4364996,600206,0.6399999856948853
1713419760.9800491,650243,0.6299999952316284
1713420921.5849946,700244,0.6600000262260437
1713421980.8089793,750267,0.6899999976158142
1713423045.6327047,800288,0.6200000047683716
1713424175.3012555,850293,0.699999988079071
1713425187.6668477,900304,0.6600000262260437
1713426364.412378,950317,0.6800000071525574
1713427551.4717333,1000318,0.7300000190734863
1713428752.855862,1050338,0.6499999761581421
1713429955.3309584,1100352,0.6700000166893005
1713431148.8405821,1150357,0.800000011920929
1713432330.8711805,1200359,0.7200000286102295
1713433516.188609,1250379,0.7599999904632568
1713434742.3134902,1300407,0.8199999928474426
1713435982.2969906,1350416,0.6800000071525574
1713437217.5095756,1400446,0.7799999713897705
1713438477.5274687,1450462,0.6800000071525574
1713439766.6443915,1500467,0.7599999904632568
1713441032.024756,1550488,0.7599999904632568
1713442287.9007185,1600510,0.7200000286102295
1713443546.1724133,1650532,0.7599999904632568
1713444834.9111116,1700532,0.75
1713446097.4895656,1750537,0.5199999809265137
1713447374.4221218,1800550,0.7799999713897705
1713448644.127619,1850575,0.7799999713897705
1713449922.4401286,1900584,0.7699999809265137
1713451181.682289,1950592,0.7400000095367432
1713452458.4571571,2000614,0.7799999713897705
1713453736.6440194,2050634,0.6899999976158142
1713455025.3361115,2100656,0.8100000023841858
1713456283.8702803,2150674,0.699999988079071
1713457554.776215,2200679,0.8100000023841858
1713458831.5797713,2250685,0.6700000166893005
1713460098.6652894,2300707,0.8199999928474426
1713461379.2894938,2350721,0.6399999856948853
1713462672.1703646,2400749,0.6100000143051147
1713463964.5304253,2450752,0.7699999809265137
1713465241.1246765,2500772,0.75
1713466512.191337,2550783,0.75
1713467793.8663056,2600805,0.8100000023841858
1713469070.4934666,2650805,0.800000011920929
1713470353.966548,2700821,0.6600000262260437
1713471651.6103787,2750835,0.8100000023841858
1713472948.240692,2800835,0.7200000286102295
1713474264.3067384,2850849,0.7699999809265137
1713475573.2426069,2900857,0.75
1713476849.8923807,2950865,0.7300000190734863
1713478136.1028252,3000869,0.75
