Wall time,Step,Value
1713404260.3054833,31,0.0
1713405516.5666788,50047,0.0
1713406725.6676204,100068,0.0
1713407929.3191068,150072,0.12999999523162842
1713409086.8813257,200073,0.10000000149011612
1713410268.7720923,250087,0.14000000059604645
1713411439.9244308,300087,0.23999999463558197
1713412615.2817607,350100,0.25999999046325684
1713413886.0861957,400120,0.5799999833106995
1713415128.5722115,450141,0.20000000298023224
1713416356.2793236,500166,0.33000001311302185
1713417555.2235336,550173,0.4099999964237213
1713418752.2705443,600184,0.6200000047683716
1713419920.9721017,650200,0.6200000047683716
1713421056.5002651,700215,0.6200000047683716
1713422060.7796338,750220,0.8199999928474426
1713423140.7060416,800246,0.7400000095367432
1713424290.7187374,850266,0.800000011920929
1713425326.5511718,900275,0.5099999904632568
1713426434.268838,950286,0.6899999976158142
1713427600.4932868,1000299,0.7400000095367432
1713428799.7644608,1050323,0.8199999928474426
1713429993.4612997,1100351,0.9200000166893005
1713431183.0879345,1150373,0.9300000071525574
1713432371.0199108,1200383,0.8799999952316284
1713433569.1842508,1250408,0.7699999809265137
1713434795.742811,1300413,0.7900000214576721
1713436035.392049,1350420,0.7400000095367432
1713437310.579632,1400445,0.8199999928474426
1713438587.5348787,1450453,0.8100000023841858
1713439852.8579805,1500459,0.800000011920929
1713441120.4050503,1550464,0.9399999976158142
1713442392.2760806,1600479,0.9300000071525574
1713443681.9697692,1650508,0.9100000262260437
1713444940.374821,1700523,0.8999999761581421
1713446201.0644348,1750545,0.9100000262260437
1713447452.4758923,1800547,0.8500000238418579
1713448713.1073546,1850551,0.8899999856948853
1713449977.6903234,1900563,0.8700000047683716
1713451230.3250349,1950563,0.9200000166893005
1713452496.9175234,2000573,0.9100000262260437
1713453770.7347176,2050576,0.8299999833106995
1713455036.9940217,2100616,0.8600000143051147
1713456321.2388062,2150622,0.8899999856948853
1713457593.3327973,2200645,0.9100000262260437
1713458883.7298982,2250655,0.7300000190734863
1713460173.6411467,2300676,0.9599999785423279
1713461452.1656587,2350690,0.9200000166893005
1713462710.808734,2400694,0.9700000286102295
1713463961.1274211,2450712,0.8799999952316284
1713465213.9872584,2500712,0.9300000071525574
1713466479.0794363,2550712,0.8700000047683716
1713467740.8282824,2600718,0.9300000071525574
1713469012.6174772,2650732,0.8399999737739563
1713470281.8539658,2700743,0.9300000071525574
1713471537.0150654,2750749,0.8700000047683716
1713472824.4979997,2800774,0.9200000166893005
1713474118.8564374,2850790,0.9200000166893005
1713475419.1448522,2900806,0.8999999761581421
1713476711.2762375,2950820,0.8500000238418579
1713477974.629942,3000833,0.949999988079071
